title,artist
Mask Off,Future
Redbone,Childish Gambino
Xanny Family,Future
Master Of None,Beach House
Parallel Lines,Junior Boys
Sneakin’,Drake
Childs Play,Drake
Gyöngyhajú lány,Omega
I've Seen Footage,Death Grips
Digital Animal,Honey Claws
Subways - In Flagranti Extended Edit,The Avalanches
Donme Dolap - Baris K Edit,Modern Folk Üçlüsü
Cemalim,Erkin Koray
One Night,Lil Yachty
Oh lala,PNL
Char,Crystal Castles
World In Motion,New Order
One Nation Under a Groove,Funkadelic
Bouncin,Chief Keef
C O O L - Radio Edit,Le Youth
Percolator (Jamie Jones Vault Mix) - mixed,Cajmere
House of Jealous Lovers,The Rapture
Imma Ride,Young Thug
Girlfriend,Ty Segall
If I Gave You My Love,Myron & E
This Ready Flesh,TR/ST
Lose My Mind,A-Trak
Char,Crystal Castles
Look Alive,Rae Sremmurd
Please Stop Making Fake Versace,Father
Milly Rock,2milly
Blasé (feat. Future & Rae Sremmurd),Ty Dolla $ign
Best Friend,Young Thug
Hercules,Young Thug
Who Be Lovin Me (feat. ILOVEMAKONNEN),Santigold
Check,Young Thug
Poppin' My Collar,Three 6 Mafia
Jumpman,Drake
7/11,Beyoncé
Somebody's Watching Me,Rockwell
Bang That,Disclosure
I Don't Sell Molly No More,ILoveMakonnen
Versace Python,Riff Raff
Monster,Kanye West
OOOUUU,Young M.A.
Return Of The Mack - C & J Street Mix,Mark Morrison
Fantastic Man,William Onyeabor
Right Place Wrong Time,Dr. John
Azon de ma gnin kpevi,T. P. Orchestre Poly-Rythmo
Odofo Nyi Akyiri Biara,Ebo Taylor
Annie,Neon Indian
The Chase,Future Islands
Coming Home,Leon Bridges
Wishes,Beach House
White Iverson,Post Malone
I Know There's Gonna Be (Good Times),Jamie xx
Loud Places,Jamie xx
L$D,A$AP Rocky
Dopeman,Vince Staples
California Nights,Best Coast
Baby,Ariel Pink's Haunted Graffiti
Ain't No Love In The Heart Of The City - Single Version,"Bobby ""Blue"" Bland"
Fail to Cry,Yacht Club
Evil Friends (feat. Danny Brown) - Jake One Remix,Portugal. The Man
Ikimiz Bir Fidaniz - Baris K Edit,Umit Aksu Orkestrasi
Sentimental Trash,Sweet Valley
Get Away,CHVRCHES
